Date,Fed_Rate,US_CPI,US_PMI,US_VIX,US_M2
2005-01-31,2.280000,2.844874,100.469200,12.820000,6430.800000
2005-02-28,2.500000,3.053026,100.414200,12.080000,6438.900000
2005-03-31,2.630000,3.206841,100.344600,14.020000,6448.300000
2005-04-30,2.790000,3.361793,100.293100,15.310000,6461.800000
2005-05-31,3.000000,2.869288,100.282700,13.290000,6479.000000
2005-06-30,3.040000,2.541027,100.311300,12.040000,6511.700000
2005-07-31,3.260000,3.067160,100.356700,11.570000,6543.500000
2005-08-31,3.500000,3.646934,100.421800,12.600000,6576.300000
2005-09-30,3.620000,4.741834,100.518700,11.920000,6610.100000
2005-10-31,3.780000,4.350105,100.656800,15.320000,6643.900000
2005-11-30,4.000000,3.338550,100.822500,12.060000,6660.700000
2005-12-31,4.160000,3.338550,100.979900,12.070000,6687.800000
2006-01-31,4.290000,4.018789,101.101000,12.950000,6730.100000
2006-02-28,4.490000,3.638254,101.177200,12.340000,6754.700000
2006-03-31,4.590000,3.417918,101.203400,11.390000,6769.300000
2006-04-30,4.790000,3.613836,101.176800,11.590000,6806.900000
2006-05-31,4.940000,3.977273,101.119500,16.440001,6813.700000
2006-06-30,4.990000,4.181724,101.067200,13.080000,6851.800000
2006-07-31,5.240000,4.104669,101.037200,14.950000,6893.600000
2006-08-31,5.250000,3.926568,101.048700,12.310000,6925.100000
2006-09-30,5.250000,2.012072,101.107500,11.980000,6952.400000
2006-10-31,5.250000,1.406328,101.194900,11.100000,7001.700000
2006-11-30,5.250000,1.968703,101.298800,10.910000,7037.200000
2006-12-31,5.240000,2.523978,101.410000,11.560000,7080.100000
2007-01-31,5.250000,2.075765,101.517900,10.420000,7118.300000
2007-02-28,5.260000,2.420261,101.623200,15.420000,7134.300000
2007-03-31,5.260000,2.798197,101.731900,14.640000,7168.200000
2007-04-30,5.250000,2.592925,101.835100,14.220000,7240.700000
2007-05-31,5.250000,2.709886,101.913500,13.050000,7254.600000
2007-06-30,5.250000,2.692765,101.954200,16.230000,7287.800000
2007-07-31,5.260000,2.317891,101.942700,23.520000,7318.700000
2007-08-31,5.020000,1.897448,101.876000,23.379999,7394.800000
2007-09-30,4.940000,2.833826,101.779000,18.000000,7413.000000
2007-10-31,4.760000,3.610698,101.670200,18.530001,7428.100000
2007-11-30,4.490000,4.373267,101.554500,22.870001,7453.600000
2007-12-31,4.240000,4.108813,101.442600,22.500000,7483.900000
2008-01-31,3.940000,4.294696,101.325800,26.200001,7517.500000
2008-02-29,2.980000,4.142959,101.193100,26.540001,7604.000000
2008-03-31,2.610000,3.974904,101.046600,25.610001,7670.000000
2008-04-30,2.280000,3.903761,100.864200,20.790001,7712.500000
2008-05-31,1.980000,4.088414,100.615700,17.830000,7725.200000
2008-06-30,2.000000,4.935966,100.266500,23.950001,7743.900000
2008-07-31,2.010000,5.497512,99.785670,22.940001,7791.200000
2008-08-31,2.000000,5.308017,99.160160,20.650000,7805.800000
2008-09-30,1.810000,4.953320,98.402910,39.389999,7872.400000
2008-10-31,0.970000,3.731058,97.570420,59.889999,7974.900000
2008-11-30,0.390000,1.099917,96.773340,55.279999,8027.000000
2008-12-31,0.160000,-0.022228,96.102510,40.000000,8204.700000
2009-01-31,0.150000,-0.113586,95.615500,44.840000,8289.000000
2009-02-28,0.220000,0.008463,95.345900,46.349998,8319.300000
2009-03-31,0.180000,-0.446479,95.309390,44.139999,8386.400000
2009-04-30,0.150000,-0.576324,95.496480,36.500000,8391.100000
2009-05-31,0.180000,-1.015761,95.845310,28.920000,8449.200000
2009-06-30,0.210000,-1.229175,96.291850,26.350000,8459.300000
2009-07-31,0.160000,-1.958761,96.779990,25.920000,8463.500000
2009-08-31,0.160000,-1.483836,97.273460,26.010000,8463.000000
2009-09-30,0.150000,-1.377943,97.745720,25.610001,8461.600000
2009-10-31,0.120000,-0.223968,98.182850,30.690001,8487.900000
2009-11-30,0.120000,1.914587,98.584500,24.510000,8517.000000
2009-12-31,0.120000,2.814123,98.953680,21.680000,8512.200000
2010-01-31,0.110000,2.621111,99.272160,24.620001,8477.700000
2010-02-28,0.130000,2.151336,99.508310,19.500000,8527.300000
2010-03-31,0.160000,2.286171,99.665660,17.590000,8523.500000
2010-04-30,0.200000,2.206771,99.729210,22.049999,8554.800000
2010-05-31,0.200000,2.003549,99.708310,32.070000,8609.000000
2010-06-30,0.180000,1.121561,99.638640,34.540001,8628.100000
2010-07-31,0.180000,1.340778,99.578510,23.500000,8639.500000
2010-08-31,0.190000,1.150178,99.573190,26.049999,8687.900000
2010-09-30,0.190000,1.118312,99.633670,23.700001,8718.700000
2010-10-31,0.190000,1.166695,99.748970,21.200001,8768.400000
2010-11-30,0.190000,1.084545,99.910780,23.540001,8789.000000
2010-12-31,0.180000,1.437793,100.083500,17.750000,8823.200000
2011-01-31,0.170000,1.700783,100.230200,19.530001,8849.000000
2011-02-28,0.160000,2.124898,100.319200,18.350000,8913.300000
2011-03-31,0.140000,2.619242,100.318100,17.740000,8971.500000
2011-04-30,0.100000,3.077234,100.224700,14.750000,9035.100000
2011-05-31,0.090000,3.458972,100.049200,15.450000,9107.800000
2011-06-30,0.090000,3.502318,99.811570,16.520000,9182.100000
2011-07-31,0.070000,3.579881,99.556370,25.250000,9344.200000
2011-08-31,0.100000,3.754996,99.340520,31.620001,9531.000000
2011-09-30,0.080000,3.812622,99.226650,42.959999,9551.500000
2011-10-31,0.070000,3.522268,99.242600,29.959999,9584.400000
2011-11-30,0.080000,3.451432,99.370430,27.799999,9636.500000
2011-12-31,0.070000,3.062067,99.563330,23.400000,9683.900000
2012-01-31,0.080000,3.008766,99.756170,19.440001,9757.600000
2012-02-29,0.100000,2.898178,99.891150,18.430000,9809.800000
2012-03-31,0.130000,2.582875,99.943950,15.500000,9853.900000
2012-04-30,0.140000,2.273163,99.917980,17.150000,9907.700000
2012-05-31,0.160000,1.737943,99.834390,24.059999,9951.400000
2012-06-30,0.160000,1.653870,99.729730,17.080000,10021.600000
2012-07-31,0.160000,1.417511,99.649830,18.930000,10074.500000
2012-08-31,0.130000,1.685935,99.618920,17.469999,10145.600000
2012-09-30,0.140000,1.949717,99.648550,15.730000,10226.100000
2012-10-31,0.160000,2.155678,99.715120,18.600000,10292.400000
2012-11-30,0.160000,1.796020,99.802250,15.870000,10361.900000
2012-12-31,0.160000,1.759505,99.912150,18.020000,10484.100000
2013-01-31,0.140000,1.684062,100.039800,14.280000,10508.100000
2013-02-28,0.150000,2.018140,100.170000,15.510000,10527.500000
2013-03-31,0.140000,1.518747,100.279200,12.700000,10583.800000
2013-04-30,0.150000,1.138808,100.381200,13.520000,10611.300000
2013-05-31,0.110000,1.390389,100.482300,16.299999,10646.100000
2013-06-30,0.090000,1.715794,100.562300,16.860001,10703.300000
2013-07-31,0.090000,1.885472,100.611000,13.450000,10742.800000
2013-08-31,0.080000,1.538809,100.640000,17.010000,10801.200000
2013-09-30,0.080000,1.094734,100.652200,16.600000,10862.000000
2013-10-31,0.090000,0.876799,100.656100,13.750000,10986.300000
2013-11-30,0.080000,1.232870,100.659600,13.700000,10995.600000
2013-12-31,0.090000,1.512838,100.653100,13.720000,11060.100000
2014-01-31,0.070000,1.557759,100.642100,18.410000,11130.800000
2014-02-28,0.070000,1.120475,100.657200,14.000000,11196.800000
2014-03-31,0.080000,1.612695,100.698600,13.880000,11232.600000
2014-04-30,0.090000,2.015125,100.750300,13.410000,11277.700000
2014-05-31,0.090000,2.166948,100.795700,11.400000,11342.800000
2014-06-30,0.100000,2.058982,100.829200,11.570000,11398.100000
2014-07-31,0.090000,1.974238,100.846000,16.950001,11453.000000
2014-08-31,0.090000,1.715098,100.848600,12.090000,11477.300000
2014-09-30,0.090000,1.684051,100.838100,16.309999,11519.100000
2014-10-31,0.090000,1.609542,100.811300,14.030000,11593.100000
2014-11-30,0.090000,1.231525,100.768600,13.330000,11634.200000
2014-12-31,0.120000,0.653121,100.705200,19.200001,11717.600000
2015-01-31,0.110000,-0.229931,100.622400,20.969999,11805.200000
2015-02-28,0.110000,-0.087031,100.526400,13.340000,11922.800000
2015-03-31,0.110000,-0.022031,100.426400,15.290000,11920.500000
2015-04-30,0.120000,-0.104031,100.327000,14.550000,11954.600000
2015-05-31,0.120000,0.035033,100.222100,13.840000,11982.600000
2015-06-30,0.130000,0.179572,100.107800,18.230000,12023.200000
2015-07-31,0.130000,0.225686,99.965080,12.120000,12067.000000
2015-08-31,0.140000,0.241304,99.804690,28.430000,12112.000000
2015-09-30,0.140000,0.008843,99.649940,24.500000,12173.900000
2015-10-31,0.120000,0.127617,99.522240,15.070000,12225.200000
2015-11-30,0.120000,0.436318,99.414670,16.129999,12317.000000
2015-12-31,0.240000,0.638725,99.320870,18.209999,12387.900000
2016-01-31,0.340000,1.237503,99.244460,20.200001,12526.200000
2016-02-29,0.380000,0.847278,99.192150,20.549999,12599.100000
2016-03-31,0.360000,0.891616,99.173100,13.950000,12649.600000
2016-04-30,0.370000,1.172626,99.171650,15.700000,12728.700000
2016-05-31,0.370000,1.078476,99.173710,14.190000,12796.300000
2016-06-30,0.380000,1.079287,99.174110,15.630000,12856.900000
2016-07-31,0.390000,0.868363,99.189510,11.870000,12911.300000
2016-08-31,0.400000,1.055316,99.231760,13.420000,12995.800000
2016-09-30,0.400000,1.548645,99.312930,13.290000,13056.700000
2016-10-31,0.400000,1.685925,99.428470,17.059999,13130.000000
2016-11-30,0.410000,1.684333,99.563190,13.330000,13204.000000
2016-12-31,0.540000,2.050799,99.697080,14.040000,13248.700000
2017-01-31,0.650000,2.510393,99.803520,11.990000,13324.300000
2017-02-28,0.660000,2.810362,99.872350,12.920000,13391.800000
2017-03-31,0.790000,2.441196,99.904050,12.370000,13452.700000
2017-04-30,0.900000,2.176223,99.913480,10.820000,13508.700000
2017-05-31,0.910000,1.856343,99.919110,10.410000,13561.400000
2017-06-30,1.040000,1.640566,99.934150,11.180000,13583.300000
2017-07-31,1.150000,1.725107,99.964520,10.260000,13640.400000
2017-08-31,1.160000,1.928122,100.033000,10.590000,13699.800000
2017-09-30,1.150000,2.180565,100.131000,9.510000,13748.900000
2017-10-31,1.150000,2.020758,100.247100,10.180000,13808.100000
2017-11-30,1.160000,2.172494,100.364300,11.280000,13841.300000
2017-12-31,1.300000,2.129931,100.477200,11.040000,13899.700000
2018-01-31,1.410000,2.151319,100.587100,13.540000,13910.200000
2018-02-28,1.420000,2.263469,100.685900,19.850000,13947.200000
2018-03-31,1.510000,2.330950,100.746700,19.969999,14003.500000
2018-04-30,1.690000,2.470996,100.764500,15.930000,14021.400000
2018-05-31,1.700000,2.781922,100.749300,15.430000,14077.400000
2018-06-30,1.820000,2.807551,100.707600,16.090000,14137.700000
2018-07-31,1.910000,2.854125,100.641300,12.830000,14171.100000
2018-08-31,1.910000,2.642924,100.552600,12.860000,14219.400000
2018-09-30,1.950000,2.332055,100.427500,12.120000,14253.800000
2018-10-31,2.190000,2.492032,100.260600,21.230000,14265.400000
2018-11-30,2.200000,2.147329,100.066200,18.070000,14285.700000
2018-12-31,2.270000,2.002381,99.864690,25.420000,14407.500000
2019-01-31,2.400000,1.487589,99.676320,16.570000,14471.500000
2019-02-28,2.400000,1.518862,99.517400,14.780000,14506.700000
2019-03-31,2.410000,1.883186,99.389980,13.710000,14550.500000
2019-04-30,2.420000,2.000583,99.275120,13.120000,14579.000000
2019-05-31,2.390000,1.795911,99.170930,18.709999,14678.300000
2019-06-30,2.380000,1.671195,99.080280,15.080000,14798.600000
2019-07-31,2.400000,1.826331,99.007430,16.120001,14881.800000
2019-08-31,2.130000,1.737641,98.961030,18.980000,14964.100000
2019-09-30,2.040000,1.684498,98.964910,16.240000,15062.400000
2019-10-31,1.830000,1.733974,99.013810,13.220000,15197.300000
2019-11-30,1.550000,2.092290,99.086970,12.620000,15305.100000
2019-12-31,1.550000,2.319527,99.156160,13.780000,15373.700000
2020-01-31,1.550000,2.599768,99.187320,18.840000,15443.200000
2020-02-29,1.580000,2.341317,99.153260,40.110001,15497.100000
2020-03-31,0.650000,1.494040,97.893620,53.540001,16025.900000
