Date,split,cluster,regime,prob_Inflationary,prob_Growth,prob_Stagflation,prob_Risk-Off
2005-02-28,train,0,Inflationary,1.0,4.3461983970749453e-57,4.5716211124322225e-55,0.0
2005-03-31,train,0,Inflationary,1.0,1.650588932955874e-58,2.0758217132682664e-59,0.0
2005-04-30,train,0,Inflationary,1.0,2.988011307320311e-57,4.1827526414319866e-47,0.0
2005-05-31,train,0,Inflationary,1.0,1.2364122386091188e-55,6.827091744033146e-48,0.0
2005-06-30,train,0,Inflationary,1.0,1.2562269092426504e-49,8.109143750666626e-41,0.0
2005-07-31,train,0,Inflationary,1.0,3.522730516723355e-52,5.5814672129644705e-56,0.0
2005-08-31,train,0,Inflationary,1.0,3.040229895835997e-51,3.4938450839979293e-57,0.0
2005-09-30,train,0,Inflationary,1.0,2.494863855052612e-50,2.670435228545042e-54,0.0
2005-10-31,train,0,Inflationary,1.0,9.94233556483931e-64,3.924284004004475e-61,0.0
2005-11-30,train,0,Inflationary,1.0,1.1847285009248406e-54,9.47563229713655e-59,0.0
2005-12-31,train,0,Inflationary,1.0,1.0556729266217053e-55,8.789311330418726e-69,0.0
2006-01-31,train,0,Inflationary,1.0,2.0462467127715724e-55,1.1962749390768268e-57,0.0
2006-02-28,train,0,Inflationary,1.0,1.5877045155369385e-63,2.90996986303157e-69,0.0
2006-03-31,train,0,Inflationary,1.0,3.307325249464891e-57,1.2788609190635472e-65,0.0
2006-04-30,train,0,Inflationary,1.0,1.229954507069941e-65,3.591217229077734e-83,0.0
2006-05-31,train,0,Inflationary,1.0,4.057304697230484e-62,7.578415036851636e-68,0.0
2006-06-30,train,0,Inflationary,1.0,5.289172136104966e-60,6.557979066742095e-60,0.0
2006-07-31,train,0,Inflationary,1.0,1.833838430397132e-56,9.19219725958706e-61,0.0
2006-08-31,train,0,Inflationary,1.0,9.81857726811282e-58,4.542093939883489e-55,0.0
2006-09-30,train,0,Inflationary,1.0,2.0019428081871424e-50,4.4844772137999777e-51,0.0
2006-10-31,train,0,Inflationary,1.0,7.51519073186891e-52,1.7526142599988064e-48,0.0
2006-11-30,train,0,Inflationary,1.0,1.1148919572212807e-50,5.566684454279733e-49,0.0
2006-12-31,train,0,Inflationary,1.0,1.8212470031201463e-51,2.9279391571994236e-60,0.0
2007-01-31,train,0,Inflationary,1.0,1.6236359131482209e-49,1.1692450301727783e-55,0.0
2007-02-28,train,0,Inflationary,1.0,2.8154581415602593e-49,1.902814764682647e-49,0.0
2007-03-31,train,0,Inflationary,1.0,2.875208698062548e-51,1.2961941605754638e-64,0.0
2007-04-30,train,0,Inflationary,1.0,3.8017449635096656e-52,8.480906114559971e-56,0.0
2007-05-31,train,0,Inflationary,1.0,8.353943686869943e-51,5.979216523005301e-41,0.0
2007-06-30,train,0,Inflationary,1.0,2.1489240043955754e-47,7.492804514783573e-43,0.0
2007-07-31,train,0,Inflationary,1.0,1.0999699582680386e-49,4.2192717393134264e-41,0.0
2007-08-31,train,0,Inflationary,1.0,1.7099740886336975e-53,4.0131678863382443e-44,0.0
2007-09-30,train,0,Inflationary,1.0,2.7337650342805622e-42,7.796118303244735e-26,0.0
2007-10-31,train,0,Inflationary,1.0,4.17351978069422e-50,2.1850733968662255e-32,0.0
2007-11-30,train,0,Inflationary,1.0,1.7673642867331622e-47,6.032753712588632e-30,0.0
2007-12-31,train,0,Inflationary,0.9999999999999432,3.953793303535154e-35,5.767145914343534e-14,0.0
2008-01-31,train,0,Inflationary,0.9999999999956799,1.020066472365628e-37,4.32069014879971e-12,0.0
2008-02-29,train,0,Inflationary,0.9999999998510738,1.67407012149005e-36,1.4892564132141334e-10,0.0
2008-03-31,train,0,Inflationary,0.9832747857861158,6.758640794286396e-33,0.01672521421388443,0.0
2008-04-30,train,2,Stagflation,0.0001356361613213674,1.3044026092883351e-31,0.9998643638386803,0.0
2008-05-31,train,2,Stagflation,2.567315893150215e-07,6.183123053973642e-33,0.9999997432684103,0.0
2008-06-30,train,2,Stagflation,7.302417457738521e-22,1.331196637232932e-34,1.0,0.0
2008-07-31,train,2,Stagflation,2.1320280237608232e-17,9.547398915594006e-44,1.0,0.0
2008-08-31,train,2,Stagflation,6.985969466268467e-15,1.3593607887889262e-41,0.9999999999999929,0.0
2008-09-30,train,2,Stagflation,6.513858048382625e-30,4.966156082438952e-35,1.0,0.0
2008-10-31,train,3,Risk-Off,1.7388997707645565e-90,2.3558545622166475e-66,8.053150121759871e-38,1.0
2008-11-30,train,3,Risk-Off,7.25648213164183e-215,3.165545961451443e-68,6.723932869463917e-50,1.0
2008-12-31,train,3,Risk-Off,1.6802773675031885e-302,3.47573458226856e-77,9.5803567747335e-47,1.0
2009-01-31,train,3,Risk-Off,7.2642e-320,2.560976662487028e-68,2.448246889104466e-53,1.0
2009-02-28,train,3,Risk-Off,0.0,1.033628405863701e-68,7.182430042617178e-32,1.0
2009-03-31,train,3,Risk-Off,1.0908280665805263e-280,5.1456403321375516e-55,3.972067981643678e-21,1.0
2009-04-30,train,3,Risk-Off,0.0,2.3618694302856055e-60,7.895684110234418e-33,1.0
2009-05-31,train,3,Risk-Off,3.4812e-316,6.665468997615176e-64,6.6067240837281645e-24,1.0
2009-06-30,train,3,Risk-Off,2.6064064131047688e-256,7.244699972159516e-74,1.783152430484249e-18,1.0
2009-07-31,train,3,Risk-Off,2.806785002657107e-163,5.255283265296885e-52,1.0927363693889247e-12,0.9999999999989071
