Date,CPI,PMI,Repo_Rate,M2,IN_CPI_YoY,US_CPI_YoY,Oil_Brent_USD,USDINR,USDINR_MoM_Return,IN_Forex_Reserves_USD,US_Fed_Funds_Rate,US_10Y_Yield,US_VIX,DXY_Dollar_Index
2005-01-31,4.365093,99.90974,6.0,22062448700000.0,4.365093,2.844874,44.51,43.66,0.812786,125068.919186,2.28,4.14,12.82,83.599998
2005-02-28,4.166672,99.94555,6.0,22151438900000.0,4.166672,3.053026,50.13,43.560001,-0.229039,131519.821799,2.5,4.36,12.08,82.510002
2005-03-31,4.166672,99.98454,6.0,22456768000000.0,4.166672,3.206841,53.22,43.610001,0.114782,137008.340401,2.63,4.5,14.02,84.059998
2005-04-30,4.960331,100.0249,6.0,23314302200000.0,4.960331,3.361793,50.61,43.380001,-0.527401,137392.934254,2.79,4.21,15.31,84.43
2005-05-31,3.740146,100.0647,6.0,23299603800000.0,3.740146,2.869288,49.3,43.619999,0.553245,134348.781252,3.0,4.0,13.29,87.760002
2005-06-30,3.320308,100.1025,6.0,23465861000000.0,3.320308,2.541027,55.36,43.459999,-0.366804,133787.216941,3.04,3.94,12.04,89.110001
2005-07-31,4.0619,100.1389,6.0,23584675800000.0,4.0619,3.06716,59.77,43.349998,-0.253108,136017.528555,3.26,4.28,11.57,89.349998
2005-08-31,3.44828,100.1752,6.0,23855674300000.0,3.44828,3.646934,66.8,43.98,1.45329,139545.536826,3.5,4.02,12.6,87.580002
2005-09-30,3.632876,100.2127,6.0,24696549400000.0,3.632876,4.741834,61.7,43.93,-0.113686,138348.338137,3.62,4.34,11.92,89.519997
2005-10-31,4.182499,100.2521,6.0,24710289700000.0,4.182499,4.350105,58.47,45.040001,2.526748,138710.724234,3.78,4.57,15.32,90.07
2005-11-30,5.333324,100.2932,6.0,24888288900000.0,5.333324,3.33855,53.25,45.860001,1.820603,137895.96025,4.0,4.49,12.06,91.57
2005-12-31,5.566194,100.3359,6.0,25155646500000.0,5.566194,3.33855,58.34,44.970001,-1.940688,131924.326287,4.16,4.39,12.07,91.169998
2006-01-31,4.372621,100.3802,6.0,25227910400000.0,4.372621,4.018789,63.19,43.900002,-2.379363,134686.556094,4.29,4.53,12.95,88.959999
2006-02-28,4.571434,100.4264,6.0,25679844600000.0,4.571434,3.638254,59.78,44.25,0.797263,136640.098147,4.49,4.55,12.34,90.110001
2006-03-31,4.571434,100.4755,6.0,27195189300000.0,4.571434,3.417918,66.06,44.528,0.628248,145854.117834,4.59,4.86,11.39,89.730003
2006-04-30,4.652819,100.5297,6.0,27635159100000.0,4.652819,3.613836,72.15,44.901001,0.837678,154362.651036,4.79,5.07,11.59,86.110001
2006-05-31,5.925414,100.5908,6.0,27703202700000.0,5.925414,3.977273,67.57,46.16,2.803944,156844.642247,4.94,5.12,16.440001,84.720001
2006-06-30,7.269132,100.6601,6.0,27745821000000.0,7.269132,4.181724,73.2,45.805,-0.769063,156731.992764,4.99,5.15,13.08,85.220001
2006-07-31,6.332181,100.7368,6.0,28273323100000.0,6.332181,4.104669,74.75,46.419998,1.342644,158019.991894,5.24,4.99,14.95,85.300003
2006-08-31,5.938365,100.8195,6.0,28848326900000.0,5.938365,3.926568,67.66,46.476002,0.120645,159707.634007,5.25,4.74,12.31,85.050003
2006-09-30,6.398643,100.9069,6.0,29416875200000.0,6.398643,2.012072,59.09,45.715,-1.637408,159103.351582,5.25,4.64,11.98,85.970001
2006-10-31,6.917449,100.9987,6.0,29369282800000.0,6.917449,1.406328,56.13,44.834999,-1.924972,161326.243414,5.25,4.61,11.1,85.32
2006-11-30,5.950752,101.0951,6.0,29822995900000.0,5.950752,1.968703,64.36,44.550999,-0.633435,168150.216332,5.25,4.46,10.91,82.919998
2006-12-31,6.528666,101.1959,6.0,30058597500000.0,6.528666,2.523978,58.96,44.040001,-1.146995,170737.998444,5.24,4.71,11.56,83.720001
2007-01-31,6.722692,101.2994,6.0,30673048200000.0,6.722692,2.075765,56.52,44.005001,-0.079473,173635.720629,5.25,4.83,10.42,84.610001
2007-02-28,7.563026,101.4032,6.0,31388670100000.0,7.563026,2.420261,59.39,44.015999,0.024992,187683.405584,5.26,4.56,15.42,83.57
