Date,IN_CPI_YoY,US_CPI_YoY,Oil_Brent_USD,Gold_USD,IN_IIP_YoY,IN_CLI_OECD,IN_Business_Confidence,US_Industrial_Production,US_CFNAI,US_Leading_Index,IN_Repo_Rate,IN_10Y_Yield,US_Fed_Funds_Rate,US_M2_YoY,US_10Y_Yield,US_2Y_Yield,US_BAA_Yield,US_AAA_Yield,US_3M_TBill,US_Unemployment_Rate,US_NFP_MoM_Change,USDINR,IN_Forex_Reserves_USD,DXY_Dollar_Index,Nifty50_MoM_Return,SP500_MoM_Return,Gold_MoM_Return,BankNifty_MoM_Return,US_VIX,US_Housing_Starts,US_Retail_Sales_YoY,US_Yield_Curve_Spread,US_Credit_Spread,IN_Real_Repo_Rate
2005-01-31,,,44.509000,421.799988,57.161530,99.909740,102.050900,95.880100,0.190000,1.160000,6.000000,,2.280000,,4.221500,3.222500,6.020000,5.360000,2.333500,5.300000,,43.660000,125068.919186,83.599998,,,,,12.820000,2144.000000,,0.999000,0.660000,
2005-02-28,,,45.475000,436.500000,57.882140,99.945550,101.877400,96.576100,0.400000,1.540000,6.000000,,2.500000,,4.165263,3.384737,5.820000,5.200000,2.538947,5.400000,253.000000,43.560001,131519.821799,82.510002,,1.890335,3.485067,,12.080000,2207.000000,,0.780526,0.620000,
2005-03-31,,,53.104545,428.700012,58.861610,99.984540,101.925300,96.445600,-0.280000,1.390000,6.000000,,2.630000,,4.497727,3.726818,6.060000,5.400000,2.738636,5.200000,120.000000,43.610001,137008.340401,84.059998,,-1.911766,-1.786939,,14.020000,1864.000000,,0.770909,0.660000,
2005-04-30,,,51.883810,435.000000,56.361870,100.024900,102.106700,96.653200,0.570000,1.640000,6.000000,,2.790000,,4.340952,3.653810,6.050000,5.330000,2.780952,5.200000,366.000000,43.380001,137392.934254,84.430000,,-2.010858,1.469556,,15.310000,2061.000000,,0.687143,0.720000,
2005-05-31,,,48.645455,416.299988,56.697110,100.064700,102.320900,96.740200,-0.020000,1.310000,6.000000,,3.000000,,4.144286,3.643810,6.010000,5.150000,2.841429,5.100000,169.000000,43.619999,134348.781252,87.760002,,2.995205,-4.298853,,13.290000,2025.000000,,0.500476,0.860000,
2005-06-30,,,54.354545,435.899994,57.686860,100.102500,102.505800,97.175300,0.410000,1.670000,6.000000,,3.040000,,3.998182,3.640455,5.860000,4.960000,2.972727,5.000000,259.000000,43.459999,133787.216941,89.110001,,-0.014271,4.708145,,12.040000,2068.000000,,0.357727,0.900000,
2005-07-31,,,57.520000,429.899994,56.588780,100.138900,102.657700,96.867600,-0.050000,1.680000,6.000000,,3.260000,,4.177500,3.871000,5.950000,5.060000,3.215500,5.000000,352.000000,43.349998,136017.528555,89.349998,,3.596829,-1.376463,,11.570000,2054.000000,,0.306500,0.890000,
2005-08-31,,,63.983478,433.799988,58.069180,100.175200,102.779100,97.183300,0.210000,1.780000,6.000000,,3.500000,,4.262609,4.044348,5.960000,5.090000,3.440870,4.900000,202.000000,43.980000,139545.536826,87.580002,,-1.122210,0.907186,,12.600000,2095.000000,,0.218261,0.870000,
2005-09-30,,,62.908182,469.000000,57.778930,100.212700,102.859800,95.300500,-0.620000,1.300000,6.000000,,3.620000,,4.199048,3.946190,6.030000,5.130000,3.419524,5.000000,50.000000,43.930000,138348.338137,89.519997,,0.694902,8.114341,,11.920000,2151.000000,,0.252857,0.900000,
2005-10-31,,,58.538571,465.100006,59.006670,100.252100,102.888500,96.457200,0.650000,1.350000,6.000000,,3.780000,,4.463500,4.271000,6.300000,5.350000,3.706000,5.000000,89.000000,45.040001,138710.724234,90.070000,,-1.774078,-0.831555,,15.320000,2065.000000,,0.192500,0.950000,
