Date,CPI,PMI,Repo_Rate,M2,India_VIX
2005-01-31,4.365093,99.909740,6.000000,22062448700000.000000,
2005-02-28,4.166672,99.945550,6.000000,22151438900000.000000,
2005-03-31,4.166672,99.984540,6.000000,22456768000000.000000,
2005-04-30,4.960331,100.024900,6.000000,23314302200000.000000,
2005-05-31,3.740146,100.064700,6.000000,23299603800000.000000,
2005-06-30,3.320308,100.102500,6.000000,23465861000000.000000,
2005-07-31,4.061900,100.138900,6.000000,23584675800000.000000,
2005-08-31,3.448280,100.175200,6.000000,23855674300000.000000,
2005-09-30,3.632876,100.212700,6.000000,24696549400000.000000,
2005-10-31,4.182499,100.252100,6.000000,24710289700000.000000,
2005-11-30,5.333324,100.293200,6.000000,24888288900000.000000,
2005-12-31,5.566194,100.335900,6.000000,25155646500000.000000,
2006-01-31,4.372621,100.380200,6.000000,25227910400000.000000,
2006-02-28,4.571434,100.426400,6.000000,25679844600000.000000,
2006-03-31,4.571434,100.475500,6.000000,27195189300000.000000,
2006-04-30,4.652819,100.529700,6.000000,27635159100000.000000,
2006-05-31,5.925414,100.590800,6.000000,27703202700000.000000,
2006-06-30,7.269132,100.660100,6.000000,27745821000000.000000,
2006-07-31,6.332181,100.736800,6.000000,28273323100000.000000,
2006-08-31,5.938365,100.819500,6.000000,28848326900000.000000,
2006-09-30,6.398643,100.906900,6.000000,29416875200000.000000,
2006-10-31,6.917449,100.998700,6.000000,29369282800000.000000,
2006-11-30,5.950752,101.095100,6.000000,29822995900000.000000,
2006-12-31,6.528666,101.195900,6.000000,30058597500000.000000,
2007-01-31,6.722692,101.299400,6.000000,30673048200000.000000,
2007-02-28,7.563026,101.403200,6.000000,31388670100000.000000,
2007-03-31,6.722692,101.504400,6.000000,33100677500000.000000,
2007-04-30,6.666670,101.599800,6.000000,33065101300000.003906,
2007-05-31,6.611573,101.686100,6.000000,33220032100000.000000,
2007-06-30,5.691062,101.759900,6.000000,33811737500000.003906,
2007-07-31,6.451616,101.818100,6.000000,34558880000000.000000,
2007-08-31,7.258066,101.857200,6.000000,34858423900000.000000,
2007-09-30,6.400004,101.872700,6.000000,35850359800000.000000,
2007-10-31,5.511795,101.859000,6.000000,36152413900000.000000,
2007-11-30,5.511795,101.810500,6.000000,36803705400000.000000,
2007-12-31,5.511795,101.723800,6.000000,37055412200000.000000,
2008-01-31,5.511795,101.597800,6.000000,38043605800000.000000,
2008-02-29,5.468755,101.434000,6.000000,38819033000000.000000,
2008-03-31,7.874014,101.235600,6.000000,40178826500000.000000,35.139999
2008-04-30,7.812498,101.006600,6.000000,40376101600000.000000,26.160000
2008-05-31,7.751936,100.751700,6.000000,40957219800000.000000,26.680000
2008-06-30,7.692306,100.476800,6.000000,41071653600000.000000,30.959999
2008-07-31,8.333350,100.188700,6.000000,41490220700000.000000,39.060001
2008-08-31,9.022571,99.895390,6.000000,42262065000000.000000,31.670000
2008-09-30,9.774449,99.606330,6.000000,42835447300000.000000,37.189999
2008-10-31,10.447772,99.332580,6.000000,43579677000000.000000,68.349998
2008-11-30,10.447772,99.086240,6.000000,43888705900000.000000,57.439999
2008-12-31,9.701505,98.879840,6.000000,44440300000000.000000,43.090000
2009-01-31,10.447772,98.725720,6.000000,45748190000000.000000,42.099998
2009-02-28,9.629621,98.633030,6.000000,46646090000000.000000,40.610001
2009-03-31,8.029193,98.604620,6.000000,47948120000000.000000,39.480000
2009-04-30,8.695646,98.636340,6.000000,49017510000000.000000,46.630001
2009-05-31,8.633088,98.718540,6.000000,49517550000000.000000,40.299999
2009-06-30,9.285726,98.839840,6.000000,49585990000000.000000,42.540001
2009-07-31,11.888095,98.989730,6.000000,50487330000000.000000,39.209999
2009-08-31,11.724140,99.159650,6.000000,50656960000000.000000,34.509998
2009-09-30,11.643838,99.343030,6.000000,51205690000000.000000,25.270000
2009-10-31,11.486489,99.535270,6.000000,51828830000000.000000,25.389999
2009-11-30,13.513511,99.733150,6.000000,52305940000000.000000,27.559999
2009-12-31,14.965979,99.934320,6.000000,52453460000000.000000,23.340000
2010-01-31,16.216223,100.136600,6.000000,53688940000000.000000,26.129999
2010-02-28,14.864858,100.338000,6.000000,54573060000000.000000,24.020000
2010-03-31,14.864858,100.536500,6.000000,56027310000000.000000,19.870001
2010-04-30,13.333331,100.729900,6.000000,56493700000000.000000,20.350000
2010-05-31,13.907298,100.915800,6.000000,57029400000000.000000,26.430000
