Asset,Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Test_MAE,Dir_Accuracy
Nifty50,LinearRegression,0.061895812994332625,0.06698747431884955,0.06844985699535633,-0.08690312726649951,0.04104822836826566,0.5833333333333334
SP500,LinearRegression,0.04189481139908914,0.04948524470966966,0.0901840787922158,0.006311917310474313,0.0358817937940108,0.6944444444444444
Gold,LinearRegression,0.051165301335344984,0.0440953634606541,0.05058177760221849,-0.11579270332185798,0.034270741007260845,0.4166666666666667
USBond,LinearRegression,0.038026403173109985,0.039027496422707315,0.08202553275274005,-0.02239056783429194,0.03080036979917579,0.5555555555555556
Nifty50,SVR,0.036710061248165254,0.07846685148840338,0.6723169995713572,-0.49133800220659696,0.05531845809571589,0.75
SP500,SVR,0.021593123034442278,0.05982349674154388,0.7583070560214406,-0.452252810487785,0.048707006605154916,0.5833333333333334
Gold,SVR,0.03383242086842877,0.04075771529332714,0.5848809728124567,0.0467269258133155,0.03295092819550449,0.6111111111111112
USBond,SVR,0.021907519828066307,0.0517863835188873,0.6953181866186744,-0.8001413818092629,0.03858985760368722,0.5833333333333334
Nifty50,RandomForest,0.04571810082904728,0.06232526001000847,0.4917702826607333,0.059125216370846334,0.03755417482396078,0.7222222222222222
SP500,RandomForest,0.030348112836640972,0.05173844031769777,0.5225845896268337,-0.08623877602254248,0.04004815122995937,0.6944444444444444
Gold,RandomForest,0.0383175104319317,0.0455511308624693,0.46752274779815595,-0.19068255403023637,0.03636895286300399,0.4444444444444444
USBond,RandomForest,0.028252501996572452,0.04165627187088128,0.49327313073635193,-0.16475946225359328,0.03259987948230756,0.5833333333333334
Nifty50,GradientBoosting,0.01692785735411631,0.06713227611125414,0.9303232837626434,-0.09160715967945032,0.04137988166703106,0.7222222222222222
SP500,GradientBoosting,0.011167366653891992,0.05280322170291424,0.9353550499969269,-0.1314086092675597,0.03931989588793617,0.6666666666666666
Gold,GradientBoosting,0.017704200407499288,0.05327462841075991,0.8863265281253603,-0.6286903459179549,0.0438587439727828,0.3333333333333333
USBond,GradientBoosting,0.010053090085586119,0.04926386384664168,0.9358407537135999,-0.6290424131086392,0.03874639981596366,0.3888888888888889
