Date,regime,prob_Inflationary,prob_Growth,prob_Risk-Off,prob_Stagflation
2008-03-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-04-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-05-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-06-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-07-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-08-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-09-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-10-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-11-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2008-12-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-01-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-02-28,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-03-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-04-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-05-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-06-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-07-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-08-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-09-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-10-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-11-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2009-12-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2010-01-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2010-02-28,Risk-Off,0.0000,0.0000,1.0000,0.0000
2010-03-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2010-04-30,Risk-Off,0.0007,0.0000,0.9993,0.0000
2010-05-31,Risk-Off,0.0000,0.0000,1.0000,0.0000
2010-06-30,Risk-Off,0.0008,0.0000,0.9992,0.0000
2010-07-31,Risk-Off,0.0085,0.0000,0.9915,0.0000
2010-08-31,Risk-Off,0.0417,0.0000,0.9583,0.0000
2010-09-30,Risk-Off,0.0168,0.0000,0.9832,0.0000
2010-10-31,Risk-Off,0.0056,0.0000,0.9944,0.0000
2010-11-30,Risk-Off,0.0349,0.0000,0.9651,0.0000
2010-12-31,Risk-Off,0.0087,0.0000,0.9913,0.0000
2011-01-31,Risk-Off,0.0061,0.0000,0.9939,0.0000
2011-02-28,Risk-Off,0.0055,0.0000,0.9945,0.0000
2011-03-31,Risk-Off,0.0194,0.0000,0.9806,0.0000
2011-04-30,Risk-Off,0.0071,0.0000,0.9929,0.0000
2011-05-31,Risk-Off,0.0614,0.0000,0.9386,0.0000
2011-06-30,Risk-Off,0.0325,0.0000,0.9675,0.0000
2011-07-31,Risk-Off,0.0488,0.0000,0.9512,0.0000
2011-08-31,Risk-Off,0.0014,0.0000,0.9986,0.0000
2011-09-30,Risk-Off,0.0000,0.0000,1.0000,0.0000
2011-10-31,Risk-Off,0.0445,0.0000,0.9555,0.0000
2011-11-30,Risk-Off,0.0018,0.0000,0.9982,0.0000
2011-12-31,Risk-Off,0.0375,0.0000,0.9625,0.0000
2012-01-31,Inflationary,0.9892,0.0000,0.0107,0.0000
2012-02-29,Stagflation,0.0033,0.0000,0.0000,0.9967
2012-03-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-04-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-05-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-06-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-07-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-08-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-09-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-10-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-11-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2012-12-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-01-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-02-28,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-03-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-04-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-05-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-06-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-07-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-08-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-09-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-10-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-11-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2013-12-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-01-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-02-28,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-03-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-04-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-05-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-06-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-07-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-08-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-09-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-10-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-11-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2014-12-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-01-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-02-28,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-03-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-04-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-05-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-06-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-07-31,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-08-31,Stagflation,0.0001,0.0000,0.0000,0.9999
2015-09-30,Stagflation,0.0000,0.0000,0.0000,1.0000
2015-10-31,Stagflation,0.0002,0.0000,0.0000,0.9998
2015-11-30,Stagflation,0.0002,0.0000,0.0000,0.9998
2015-12-31,Stagflation,0.0011,0.0000,0.0000,0.9989
2016-01-31,Stagflation,0.0042,0.0000,0.0000,0.9958
2016-02-29,Stagflation,0.0182,0.0000,0.0000,0.9818
2016-03-31,Stagflation,0.0350,0.0000,0.0000,0.9650
2016-04-30,Inflationary,0.9502,0.0000,0.0000,0.0498
2016-05-31,Inflationary,0.9826,0.0000,0.0000,0.0174
2016-06-30,Inflationary,0.9876,0.0000,0.0000,0.0124
2016-07-31,Inflationary,0.9952,0.0000,0.0000,0.0048
2016-08-31,Inflationary,0.9984,0.0000,0.0000,0.0016
2016-09-30,Inflationary,0.9985,0.0000,0.0000,0.0015
2016-10-31,Inflationary,0.9998,0.0000,0.0000,0.0002
2016-11-30,Inflationary,0.9996,0.0000,0.0000,0.0004
2016-12-31,Inflationary,0.9993,0.0000,0.0000,0.0007
2017-01-31,Inflationary,0.9990,0.0001,0.0000,0.0008
2017-02-28,Inflationary,0.9994,0.0000,0.0000,0.0006
2017-03-31,Inflationary,0.9998,0.0000,0.0000,0.0002
2017-04-30,Inflationary,0.9998,0.0000,0.0000,0.0001
2017-05-31,Inflationary,0.9997,0.0002,0.0000,0.0001
2017-06-30,Inflationary,0.9997,0.0002,0.0000,0.0001
2017-07-31,Inflationary,0.9998,0.0001,0.0000,0.0001
2017-08-31,Inflationary,0.9998,0.0002,0.0000,0.0000
2017-09-30,Inflationary,0.9998,0.0002,0.0000,0.0000
2017-10-31,Inflationary,0.9999,0.0001,0.0000,0.0000
2017-11-30,Inflationary,0.9999,0.0001,0.0000,0.0000
